scenario_id,timestamp,elapsed_hours,temperature_stress,contamination,operational_load,maintenance_level,shock_magnitude,blade_health,blade_status,blade_thickness,nozzle_health,nozzle_status,nozzle_clog,heater_health,heater_status,heater_resistance,cascade_events,maintenance_action
NORMAL,2025-01-01T04:00:00,4,40.12,0.054000000000000006,4,0.798,0.0,1.0,FUNCTIONAL,1.0,0.9995,FUNCTIONAL,0.0,0.9999,FUNCTIONAL,1.0001,,
NORMAL,2025-01-01T08:00:00,8,40.24,0.058,8,0.796,0.0,1.0,FUNCTIONAL,1.0,0.999,FUNCTIONAL,0.0,0.9998,FUNCTIONAL,1.0002,,
NORMAL,2025-01-01T12:00:00,12,40.36,0.062,12,0.794,0.0,1.0,FUNCTIONAL,1.0,0.9986,FUNCTIONAL,0.0,0.9996,FUNCTIONAL,1.0003,,
NORMAL,2025-01-01T16:00:00,16,40.48,0.066,16,0.792,0.0,1.0,FUNCTIONAL,1.0,0.9981,FUNCTIONAL,0.0,0.9995,FUNCTIONAL,1.0004,,
NORMAL,2025-01-01T20:00:00,20,40.6,0.07,20,0.79,0.0,0.9999,FUNCTIONAL,1.0,0.9976,FUNCTIONAL,0.0,0.9993,FUNCTIONAL,1.0005,,
NORMAL,2025-01-02T00:00:00,24,40.72,0.07400000000000001,24,0.788,0.0,0.9999,FUNCTIONAL,1.0,0.9971,FUNCTIONAL,0.0,0.9992,FUNCTIONAL,1.0006,,
NORMAL,2025-01-02T04:00:00,28,40.84,0.078,28,0.786,0.0,0.9999,FUNCTIONAL,0.9999,0.9966,FUNCTIONAL,0.0,0.9991,FUNCTIONAL,1.0007,,
NORMAL,2025-01-02T08:00:00,32,40.96,0.082,32,0.784,0.0,0.9998,FUNCTIONAL,0.9999,0.9961,FUNCTIONAL,0.0,0.9989,FUNCTIONAL,1.0009,,
NORMAL,2025-01-02T12:00:00,36,41.08,0.08600000000000001,36,0.782,0.0,0.9997,FUNCTIONAL,0.9999,0.9957,FUNCTIONAL,0.0,0.9988,FUNCTIONAL,1.001,,
NORMAL,2025-01-02T16:00:00,40,41.2,0.09,40,0.78,0.0,0.9997,FUNCTIONAL,0.9998,0.9952,FUNCTIONAL,0.0,0.9987,FUNCTIONAL,1.0011,,
NORMAL,2025-01-02T20:00:00,44,41.32,0.094,44,0.778,0.0,0.9996,FUNCTIONAL,0.9998,0.9947,FUNCTIONAL,0.0,0.9985,FUNCTIONAL,1.0012,,
NORMAL,2025-01-03T00:00:00,48,41.44,0.098,48,0.776,0.0,0.9995,FUNCTIONAL,0.9997,0.9942,FUNCTIONAL,0.0,0.9984,FUNCTIONAL,1.0013,,
NORMAL,2025-01-03T04:00:00,52,41.56,0.10200000000000001,52,0.774,0.0,0.9994,FUNCTIONAL,0.9997,0.9937,FUNCTIONAL,0.0,0.9982,FUNCTIONAL,1.0014,,
NORMAL,2025-01-03T08:00:00,56,41.68,0.10600000000000001,56,0.772,0.0,0.9992,FUNCTIONAL,0.9996,0.9932,FUNCTIONAL,0.0,0.998,FUNCTIONAL,1.0016,,
NORMAL,2025-01-03T12:00:00,60,41.8,0.11,60,0.77,0.0,0.9991,FUNCTIONAL,0.9995,0.9927,FUNCTIONAL,0.0,0.9979,FUNCTIONAL,1.0017,,
NORMAL,2025-01-03T16:00:00,64,41.92,0.114,64,0.768,0.0,0.9989,FUNCTIONAL,0.9995,0.9922,FUNCTIONAL,0.0,0.9977,FUNCTIONAL,1.0018,,
NORMAL,2025-01-03T20:00:00,68,42.04,0.11800000000000001,68,0.766,0.0,0.9987,FUNCTIONAL,0.9994,0.9918,FUNCTIONAL,0.0,0.9976,FUNCTIONAL,1.002,,
NORMAL,2025-01-04T00:00:00,72,42.16,0.12200000000000001,72,0.764,0.0,0.9985,FUNCTIONAL,0.9993,0.9913,FUNCTIONAL,0.0,0.9974,FUNCTIONAL,1.0021,,
NORMAL,2025-01-04T04:00:00,76,42.28,0.126,76,0.762,0.0,0.9983,FUNCTIONAL,0.9991,0.9908,FUNCTIONAL,0.0,0.9972,FUNCTIONAL,1.0022,,
NORMAL,2025-01-04T08:00:00,80,42.4,0.13,80,0.76,0.0,0.9981,FUNCTIONAL,0.999,0.9903,FUNCTIONAL,0.0,0.997,FUNCTIONAL,1.0024,,
NORMAL,2025-01-04T12:00:00,84,42.52,0.134,84,0.758,0.0,0.9978,FUNCTIONAL,0.9989,0.9898,FUNCTIONAL,0.0,0.9968,FUNCTIONAL,1.0025,,
NORMAL,2025-01-04T16:00:00,88,42.64,0.138,88,0.756,0.0,0.9975,FUNCTIONAL,0.9988,0.9893,FUNCTIONAL,0.0,0.9966,FUNCTIONAL,1.0027,,
NORMAL,2025-01-04T20:00:00,92,42.76,0.14200000000000002,92,0.754,0.0,0.9972,FUNCTIONAL,0.9986,0.9888,FUNCTIONAL,0.0,0.9965,FUNCTIONAL,1.0028,,
NORMAL,2025-01-05T00:00:00,96,42.88,0.14600000000000002,96,0.752,0.0,0.9969,FUNCTIONAL,0.9984,0.9883,FUNCTIONAL,0.0,0.9963,FUNCTIONAL,1.003,,
NORMAL,2025-01-05T04:00:00,100,43.0,0.15000000000000002,100,0.75,0.0,0.9965,FUNCTIONAL,0.9983,0.9878,FUNCTIONAL,0.0,0.9961,FUNCTIONAL,1.0031,,
NORMAL,2025-01-05T08:00:00,104,43.12,0.15400000000000003,104,0.748,0.0,0.9961,FUNCTIONAL,0.9981,0.9873,FUNCTIONAL,0.0,0.9959,FUNCTIONAL,1.0033,,
NORMAL,2025-01-05T12:00:00,108,43.24,0.158,108,0.746,0.0,0.9957,FUNCTIONAL,0.9979,0.9868,FUNCTIONAL,0.0,0.9957,FUNCTIONAL,1.0034,,
NORMAL,2025-01-05T16:00:00,112,43.36,0.162,112,0.744,0.0,0.9953,FUNCTIONAL,0.9976,0.9863,FUNCTIONAL,0.0,0.9955,FUNCTIONAL,1.0036,,
NORMAL,2025-01-05T20:00:00,116,43.48,0.166,116,0.742,0.0,0.9948,FUNCTIONAL,0.9974,0.9858,FUNCTIONAL,0.0,0.9953,FUNCTIONAL,1.0037,,
NORMAL,2025-01-06T00:00:00,120,43.6,0.16999999999999998,120,0.74,0.0,0.9943,FUNCTIONAL,0.9972,0.9853,FUNCTIONAL,0.0,0.9951,FUNCTIONAL,1.0039,,
NORMAL,2025-01-06T04:00:00,124,43.72,0.174,124,0.738,0.0,0.9938,FUNCTIONAL,0.9969,0.9848,FUNCTIONAL,0.0,0.9949,FUNCTIONAL,1.0041,,
NORMAL,2025-01-06T08:00:00,128,43.84,0.178,128,0.736,0.0,0.9932,FUNCTIONAL,0.9966,0.9843,FUNCTIONAL,0.0,0.9947,FUNCTIONAL,1.0042,,
NORMAL,2025-01-06T12:00:00,132,43.96,0.182,132,0.734,0.0,0.9926,FUNCTIONAL,0.9963,0.9838,FUNCTIONAL,0.0,0.9945,FUNCTIONAL,1.0044,,
NORMAL,2025-01-06T16:00:00,136,44.08,0.186,136,0.732,0.0,0.992,FUNCTIONAL,0.996,0.9833,FUNCTIONAL,0.0,0.9943,FUNCTIONAL,1.0045,,
NORMAL,2025-01-06T20:00:00,140,44.2,0.19,140,0.73,0.0,0.9913,FUNCTIONAL,0.9957,0.9828,FUNCTIONAL,0.0,0.9941,FUNCTIONAL,1.0047,,
NORMAL,2025-01-07T00:00:00,144,44.32,0.194,144,0.728,0.0,0.9907,FUNCTIONAL,0.9953,0.9823,FUNCTIONAL,0.0,0.9939,FUNCTIONAL,1.0049,,
NORMAL,2025-01-07T04:00:00,148,44.44,0.198,148,0.7260000000000001,0.0,0.9899,FUNCTIONAL,0.995,0.9818,FUNCTIONAL,0.0,0.9937,FUNCTIONAL,1.0051,,
NORMAL,2025-01-07T08:00:00,152,44.56,0.202,152,0.7240000000000001,0.0,0.9892,FUNCTIONAL,0.9946,0.9813,FUNCTIONAL,0.0,0.9935,FUNCTIONAL,1.0052,,
NORMAL,2025-01-07T12:00:00,156,44.68,0.20600000000000002,156,0.7220000000000001,0.0,0.9884,FUNCTIONAL,0.9942,0.9808,FUNCTIONAL,0.0,0.9932,FUNCTIONAL,1.0054,,
NORMAL,2025-01-07T16:00:00,160,44.8,0.21000000000000002,160,0.7200000000000001,0.0,0.9875,FUNCTIONAL,0.9938,0.9803,FUNCTIONAL,0.0,0.993,FUNCTIONAL,1.0056,,
NORMAL,2025-01-07T20:00:00,164,44.92,0.21400000000000002,164,0.7180000000000001,0.0,0.9866,FUNCTIONAL,0.9933,0.9798,FUNCTIONAL,0.0,0.9928,FUNCTIONAL,1.0058,,
NORMAL,2025-01-08T00:00:00,168,45.04,0.21800000000000003,168,0.7160000000000001,0.0,0.9857,FUNCTIONAL,0.9929,0.9793,FUNCTIONAL,0.0,0.9926,FUNCTIONAL,1.0059,,
NORMAL,2025-01-08T04:00:00,172,45.16,0.22200000000000003,172,0.7140000000000001,0.0,0.9847,FUNCTIONAL,0.9924,0.9788,FUNCTIONAL,0.0,0.9924,FUNCTIONAL,1.0061,,
NORMAL,2025-01-08T08:00:00,176,45.28,0.22599999999999998,176,0.7120000000000001,0.0,0.9837,FUNCTIONAL,0.9919,0.9783,FUNCTIONAL,0.0,0.9922,FUNCTIONAL,1.0063,,
NORMAL,2025-01-08T12:00:00,180,45.4,0.22999999999999998,180,0.7100000000000001,0.0,0.9827,FUNCTIONAL,0.9913,0.9778,FUNCTIONAL,0.0,0.9919,FUNCTIONAL,1.0065,,
NORMAL,2025-01-08T16:00:00,184,45.519999999999996,0.23399999999999999,184,0.7080000000000001,0.0,0.9816,FUNCTIONAL,0.9908,0.9773,FUNCTIONAL,0.0,0.9917,FUNCTIONAL,1.0067,,
